"solution_name","connector_id","table_name"
"Corelight","CorelightConnectorExporter","Corelight_v2_enip_list_identity_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_etc_viz_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_files_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_files_red_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_ftp_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_generic_dns_tunnels_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_generic_icmp_tunnels_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_http2_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_http_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_http_red_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_icmp_specific_tunnels_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_intel_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_ipsec_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_irc_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_iso_cotp_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_kerberos_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_known_certs_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_known_devices_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_known_domains_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_known_hosts_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_known_names_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_known_remotes_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_known_services_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_known_users_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_local_subnets_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_local_subnets_dj_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_local_subnets_graphs_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_log4shell_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_modbus_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_mqtt_connect_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_mqtt_publish_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_mqtt_subscribe_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_mysql_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_notice_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_ntlm_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_ntp_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_ocsp_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_openflow_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_packet_filter_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_pe_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_profinet_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_profinet_dce_rpc_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_profinet_debug_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_radius_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_rdp_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_reporter_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_rfb_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_s7comm_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_signatures_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_sip_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_smartpcap_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_smartpcap_stats_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_smb_files_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_smb_mapping_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_smtp_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_smtp_links_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_snmp_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_socks_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_software_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_specific_dns_tunnels_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_ssh_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_ssl_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_ssl_red_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_stats_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_stepping_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_stun_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_stun_nat_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_suricata_corelight_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_suricata_eve_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_suricata_stats_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_suricata_zeek_stats_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_syslog_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_tds_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_tds_rpc_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_tds_sql_batch_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_traceroute_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_tunnel_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_unknown_smartpcap_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_util_stats_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_vpn_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_weird_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_weird_red_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_weird_stats_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_wireguard_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_x509_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_x509_red_CL"
"Corelight","CorelightConnectorExporter","Corelight_v2_zeek_doctor_CL"
"Corelight","CorelightConnectorExporter","Immediate"
"Corelight","CorelightConnectorExporter","impacket"
"Corelight","CorelightConnectorExporter","improve"
"Cortex XDR","",""
"Cortex XDR","CortexXDRDataConnector","PaloAltoCortexXDR_Alerts_CL"
"Cortex XDR","CortexXDRDataConnector","PaloAltoCortexXDR_Audit_Agent_CL"
"Cortex XDR","CortexXDRDataConnector","PaloAltoCortexXDR_Audit_Management_CL"
"Cortex XDR","CortexXDRDataConnector","PaloAltoCortexXDR_Endpoints_CL"
"Cortex XDR","CortexXDRDataConnector","PaloAltoCortexXDR_Incidents_CL"
"Cortex XDR","CortexXDRIncidents","PaloAltoCortexXDR_Incidents_CL"
"Cribl","",""
"Cribl","Cribl","CriblAccess_CL"
"Cribl","Cribl","CriblAudit_CL"
"Cribl","Cribl","CriblInternal_CL"
"Cribl","Cribl","CriblUIAccess_CL"
"CrowdStrike Falcon Endpoint Protection","",""
"CrowdStrike Falcon Endpoint Protection","CrowdStrikeAPICCPDefinition","CrowdStrikeAlerts"
"CrowdStrike Falcon Endpoint Protection","CrowdStrikeAPICCPDefinition","CrowdStrikeDetections"
"CrowdStrike Falcon Endpoint Protection","CrowdStrikeAPICCPDefinition","CrowdStrikeHosts"
"CrowdStrike Falcon Endpoint Protection","CrowdStrikeAPICCPDefinition","CrowdStrikeIncidents"
"CrowdStrike Falcon Endpoint Protection","CrowdStrikeAPICCPDefinition","CrowdStrikeVulnerabilities"
